class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
e,f,y,n,t,o,f,c,b,p,e,o,s,o,w,w,p,w,o,p,n,o,g
e,x,s,y,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,k,o,g
e,o,s,w,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,n,o,g
e,x,y,w,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,k,o,g
e,x,o,n,f,n,f,w,b,p,t,o,o,s,w,w,p,w,o,e,k,o,g
e,o,s,y,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,k,o,g
e,f,y,y,t,o,f,c,b,w,e,o,s,o,w,w,p,w,o,p,n,o,g
e,x,y,y,t,o,f,c,b,n,e,o,s,o,w,w,p,w,o,p,k,o,p
e,o,y,w,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,n,o,g
e,x,y,y,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,k,o,o
e,x,y,y,t,o,f,c,b,w,e,o,s,o,w,w,p,w,o,p,n,o,g
e,o,y,w,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,k,o,o
e,o,y,w,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,n,o,o
e,x,s,y,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,k,o,o
e,x,s,y,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,k,o,g
e,o,o,g,f,n,f,c,n,gh,e,o,s,s,w,w,p,w,o,p,k,o,o
e,x,o,w,t,o,f,w,n,w,t,b,s,s,w,w,p,w,o,p,o,v,d
e,x,s,y,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,k,o,o
p,x,y,w,t,o,f,c,n,n,e,o,s,s,w,w,p,w,o,p,n,v,o
e,x,y,y,t,o,f,c,b,p,e,o,s,o,w,w,p,w,o,p,n,o,g
e,o,o,g,f,n,f,c,n,p,e,o,s,s,w,w,p,w,o,p,n,o,o
e,x,y,y,t,o,f,c,b,w,e,o,s,o,w,w,p,w,o,p,k,o,g
e,x,s,y,t,o,f,w,n,p,t,b,s,s,w,w,p,w,o,p,o,v,d
e,o,o,n,f,n,f,c,n,o,e,o,s,s,w,w,p,w,o,p,n,o,o
p,x,s,w,t,o,f,c,n,o,e,o,s,s,w,w,p,w,o,p,k,v,g
e,x,y,w,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,n,o,o
p,f,y,n,t,o,f,c,n,p,e,o,s,s,w,w,p,w,o,p,k,v,g
e,f,s,g,f,n,f,w,b,o,t,o,s,s,w,w,p,w,o,e,n,o,g
e,x,s,y,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,n,o,o
e,x,s,w,f,n,f,w,b,n,t,o,s,o,w,w,p,w,o,e,k,o,g
e,o,s,y,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,n,o,g
e,f,o,g,f,n,f,w,b,gh,t,o,s,s,w,w,p,w,o,e,n,o,g
e,x,s,w,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,k,o,g
e,o,s,w,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,n,o,o
e,o,s,w,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,n,o,g
e,o,y,w,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,n,o,o
e,f,s,w,t,o,f,w,n,w,t,b,s,s,w,w,p,w,o,p,o,v,d
e,x,y,y,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,k,o,o
e,f,s,w,t,o,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
p,x,y,w,t,o,f,c,n,w,e,o,s,s,w,w,p,w,o,p,n,v,o
e,f,o,w,t,o,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,y,y,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,n,o,g
p,x,s,n,t,o,f,c,n,p,e,o,s,s,w,w,p,w,o,p,n,v,g
e,o,s,y,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,n,o,g
e,x,y,n,t,o,f,c,b,w,e,o,s,o,w,w,p,w,o,p,k,o,p
e,o,y,y,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,k,o,o
e,o,o,n,f,n,f,c,n,o,e,o,s,s,w,w,p,w,o,p,n,v,o
e,f,y,n,t,o,f,c,b,w,e,o,s,o,w,w,p,w,o,p,k,o,p
e,x,y,y,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,k,o,g
e,x,o,g,f,n,f,w,b,o,t,o,o,o,w,w,p,w,o,e,k,o,g
e,f,o,w,f,n,f,w,b,o,t,o,s,o,w,w,p,w,o,e,n,o,g
e,x,y,y,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,n,o,o
e,o,s,y,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,k,o,g
e,o,y,w,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,k,o,o
e,x,y,w,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,n,o,g
e,x,s,n,f,n,f,w,b,p,t,o,o,s,w,w,p,w,o,e,n,o,g
e,x,y,w,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,n,o,g
e,o,o,n,f,n,f,c,n,o,e,o,s,s,w,w,p,w,o,p,k,v,o
e,x,s,w,t,o,f,w,n,w,t,b,s,s,w,w,p,w,o,p,o,v,d
e,x,y,n,t,o,f,c,b,w,e,o,s,o,w,w,p,w,o,p,k,o,g
e,o,y,y,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,n,o,g
e,x,y,w,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,n,o,g
e,o,y,w,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,k,o,o
e,o,s,y,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,k,o,g
e,o,s,y,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,k,o,o
e,o,y,y,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,k,o,g
e,x,o,n,f,n,f,c,n,o,e,o,s,s,w,w,p,w,o,p,n,o,o
e,f,y,n,t,o,f,c,b,n,e,o,s,o,w,w,p,w,o,p,n,o,g
e,x,y,w,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,n,o,g
e,f,y,y,t,o,f,c,b,w,e,o,s,o,w,w,p,w,o,p,n,o,p
e,o,s,w,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,n,o,g
e,o,s,w,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,k,o,o
e,x,y,n,t,o,f,c,b,w,e,o,s,o,w,w,p,w,o,p,k,o,g
e,o,s,w,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,k,o,g
e,x,o,g,f,n,f,c,n,gh,e,o,s,s,w,w,p,w,o,p,n,o,o
e,o,s,y,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,n,o,g
e,x,o,y,t,o,f,w,n,n,t,b,s,s,w,w,p,w,o,p,o,v,d
e,o,y,y,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,k,o,g
e,f,y,y,t,o,f,c,b,p,e,o,s,o,w,w,p,w,o,p,n,o,g
e,o,y,w,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,k,o,o
e,o,y,w,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,k,o,o
e,o,y,y,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,n,o,g
e,x,y,y,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,n,o,o
e,o,s,y,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,n,o,g
p,x,y,w,t,o,f,c,n,p,e,o,s,s,w,w,p,w,o,p,n,v,o
e,o,o,n,f,n,f,c,n,gh,e,o,s,s,w,w,p,w,o,p,n,o,o
e,f,o,n,f,n,f,c,n,gh,e,o,s,s,w,w,p,w,o,p,k,v,o
e,x,s,y,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,n,o,o
e,f,y,n,t,o,f,c,b,p,e,o,s,o,w,w,p,w,o,p,k,o,p
p,x,y,w,t,o,f,c,n,o,e,o,s,s,w,w,p,w,o,p,k,o,g
e,o,s,w,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,n,o,o
e,f,o,g,f,n,f,c,n,p,e,o,s,s,w,w,p,w,o,p,k,v,o
e,o,y,y,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,n,o,g
e,x,y,n,t,o,f,c,b,w,e,o,s,o,w,w,p,w,o,p,n,o,p
e,x,o,w,f,n,f,w,b,p,t,o,s,o,w,w,p,w,o,e,k,o,g
e,x,s,w,t,o,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
e,o,s,w,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,n,o,o
e,f,s,y,t,o,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,s,y,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,n,o,o
e,f,o,g,f,n,f,c,n,gh,e,o,s,s,w,w,p,w,o,p,n,o,o
e,o,s,y,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,k,o,g
e,x,s,w,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,n,o,o
e,x,y,w,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,n,o,o
e,f,s,w,t,o,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,y,y,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,n,o,g
e,o,s,w,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,k,o,g
e,x,s,w,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,k,o,g
e,x,o,w,f,n,f,w,b,gh,t,o,o,s,w,w,p,w,o,e,k,o,g
e,f,y,n,t,o,f,c,b,n,e,o,s,o,w,w,p,w,o,p,k,o,p
p,x,s,w,t,o,f,c,n,o,e,o,s,s,w,w,p,w,o,p,n,v,o
e,o,s,w,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,n,o,g
e,o,s,w,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,k,o,o
e,o,y,w,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,n,o,g
e,o,y,w,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,k,o,g
e,x,s,y,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,k,o,g
e,o,s,w,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,k,o,o
e,x,o,y,t,o,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,o,g,f,n,f,c,n,n,e,o,s,s,w,w,p,w,o,p,n,o,o
e,f,y,y,t,o,f,c,b,n,e,o,s,o,w,w,p,w,o,p,n,o,g
e,o,s,w,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,k,o,o
e,x,s,y,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,k,o,g
e,x,y,y,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,k,o,g
e,x,y,w,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,n,o,g
e,o,o,g,f,n,f,c,n,p,e,o,s,s,w,w,p,w,o,p,n,v,o
e,x,s,w,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,n,o,o
p,x,s,w,t,o,f,c,n,o,e,o,s,s,w,w,p,w,o,p,k,o,g
e,x,y,y,t,o,f,c,b,n,e,o,s,o,w,w,p,w,o,p,n,o,g
e,f,o,w,t,o,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,y,w,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,k,o,o
e,o,y,w,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,k,o,g
e,x,s,w,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,n,o,g
e,x,s,y,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,n,o,g
p,x,y,n,t,o,f,c,n,p,e,o,s,s,w,w,p,w,o,p,k,v,o
e,o,s,y,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,n,o,g
e,x,o,g,f,n,f,c,n,n,e,o,s,s,w,w,p,w,o,p,k,o,o
p,x,y,w,t,o,f,c,n,o,e,o,s,s,w,w,p,w,o,p,k,o,o
e,x,y,y,t,o,f,c,b,n,e,o,s,o,w,w,p,w,o,p,n,o,p
e,f,o,n,f,n,f,c,n,o,e,o,s,s,w,w,p,w,o,p,k,v,o
e,o,s,w,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,n,o,g
e,x,o,w,t,o,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,y,w,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,k,o,g
e,o,y,y,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,n,o,g
e,x,y,y,t,o,f,c,b,n,e,o,s,o,w,w,p,w,o,p,k,o,g
e,f,y,y,t,o,f,c,b,p,e,o,s,o,w,w,p,w,o,p,k,o,p
e,f,y,y,t,o,f,c,b,w,e,o,s,o,w,w,p,w,o,p,k,o,p
e,x,s,w,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,k,o,g
e,x,s,w,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,n,o,o
p,x,s,w,t,o,f,c,n,n,e,o,s,s,w,w,p,w,o,p,k,v,o
e,f,o,w,t,o,f,w,n,p,t,b,s,s,w,w,p,w,o,p,o,v,d
e,x,s,w,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,n,o,g
e,x,s,w,t,o,f,w,n,p,t,b,s,s,w,w,p,w,o,p,o,v,d
e,x,y,w,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,k,o,o
e,f,y,y,t,o,f,c,b,w,e,o,s,o,w,w,p,w,o,p,k,o,p
e,x,s,n,f,n,f,w,b,p,t,o,o,s,w,w,p,w,o,e,k,o,g
e,f,y,y,t,o,f,c,b,w,e,o,s,o,w,w,p,w,o,p,n,o,g
p,x,s,n,t,o,f,c,n,p,e,o,s,s,w,w,p,w,o,p,n,o,g
e,o,o,n,f,n,f,c,n,gh,e,o,s,s,w,w,p,w,o,p,n,v,o
e,o,y,y,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,n,o,o
e,o,s,w,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,n,o,g
e,o,y,w,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,n,o,o
e,f,o,n,f,n,f,c,n,o,e,o,s,s,w,w,p,w,o,p,n,v,o
e,x,s,w,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,k,o,o
e,o,y,w,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,k,o,g
e,o,y,w,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,n,o,o
e,f,y,n,t,o,f,c,b,w,e,o,s,o,w,w,p,w,o,p,n,o,g
p,x,y,w,t,o,f,c,n,o,e,o,s,s,w,w,p,w,o,p,k,v,g
e,x,s,w,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,n,o,g
e,x,y,w,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,n,o,o
e,f,o,w,t,o,f,w,n,w,t,b,s,s,w,w,p,w,o,p,o,v,d
e,f,o,g,f,n,f,c,n,gh,e,o,s,s,w,w,p,w,o,p,k,v,o
e,f,s,g,f,n,f,w,b,p,t,o,s,s,w,w,p,w,o,e,k,o,g
e,x,y,y,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,n,o,o
e,o,s,w,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,n,o,o
p,f,y,n,t,o,f,c,n,w,e,o,s,s,w,w,p,w,o,p,k,o,o
e,x,s,w,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,k,o,o
p,f,s,n,t,o,f,c,n,w,e,o,s,s,w,w,p,w,o,p,k,v,o
e,x,y,w,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,n,o,g
e,x,y,y,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,n,o,o
e,f,y,y,t,o,f,c,b,n,e,o,s,o,w,w,p,w,o,p,n,o,p
e,x,y,n,t,o,f,c,b,w,e,o,s,o,w,w,p,w,o,p,n,o,p
e,f,y,n,t,o,f,c,b,w,e,o,s,o,w,w,p,w,o,p,n,o,g
e,x,y,w,t,o,f,c,b,w,e,o,s,s,w,w,p,w,o,p,n,o,o
e,f,o,n,f,n,f,w,b,gh,t,o,s,s,w,w,p,w,o,e,k,o,g
e,x,s,y,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,n,o,o
p,x,y,w,t,o,f,c,n,w,e,o,s,s,w,w,p,w,o,p,n,o,g
e,o,y,y,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,n,o,o
e,o,o,n,f,n,f,c,n,p,e,o,s,s,w,w,p,w,o,p,n,v,o
e,x,s,y,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,k,o,o
e,o,y,w,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,k,o,o
e,f,y,n,t,o,f,c,b,n,e,o,s,o,w,w,p,w,o,p,k,o,g
e,o,y,y,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,k,o,o
e,o,y,w,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,k,o,g
e,x,y,n,t,o,f,c,b,n,e,o,s,o,w,w,p,w,o,p,n,o,p
e,f,o,g,f,n,f,c,n,p,e,o,s,s,w,w,p,w,o,p,n,o,o
e,x,o,g,f,n,f,c,n,gh,e,o,s,s,w,w,p,w,o,p,k,o,o
e,o,y,y,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,k,o,g
e,x,s,y,t,o,f,c,b,n,e,o,s,s,w,w,p,w,o,p,k,o,o
e,o,y,w,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,n,o,g
e,x,s,w,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,k,o,o
e,o,s,y,t,o,f,c,b,gh,e,o,s,s,w,w,p,w,o,p,n,o,o
e,x,s,y,t,o,f,c,b,o,e,o,s,s,w,w,p,w,o,p,k,o,o
